Name,Description,Range,Increment,Value,Read_only
FORMAT_VERSION,This value is incremented when changes are made to the eeprom format,,,,True
SYSID_THISMAV,Allows setting an individual MAVLink system id for this vehicle to distinguish it from others on the same network,1 255,,,
SYSID_MYGCS,Allows restricting radio overrides to only come from my ground station,1 255,,,
PILOT_THR_FILT,Throttle filter cutoff (Hz) - active whenever altitude control is inactive - 0 to disable,0 10,.5,,
PILOT_TKOFF_ALT,Altitude that altitude control modes will climb to when a takeoff is triggered with the throttle stick.,0.0 1000.0,10,,
PILOT_THR_BHV,"Bitmask containing various throttle stick options. TX with sprung throttle can set PILOT_THR_BHV to ""1"" so motor feedback when landed starts from mid-stick instead of bottom of stick.",,,0|1|2|4|,
TELEM_DELAY,The amount of time (in seconds) to delay radio telemetry to prevent an Xbee bricking on power up,0 30,1,,
GCS_PID_MASK,bitmask of PIDs to send MAVLink PID_TUNING messages for,,,0|1|2|4|8|,
RTL_ALT,The minimum alt above home the vehicle will climb to before returning.  If the vehicle is flying higher than this value it will return at its current altitude.,200 300000,1,,
RTL_CONE_SLOPE,Defines a cone above home which determines maximum climb,0.5 10.0,.1,0|1|3|,
RTL_SPEED,"Defines the speed in cm/s which the aircraft will attempt to maintain horizontally while flying home. If this is set to zero, WPNAV_SPEED will be used instead.",0 2000,50,,
RTL_ALT_FINAL,This is the altitude the vehicle will move to as the final stage of Returning to Launch or after completing a mission.  Set to zero to land.,0 1000,1,,
RTL_CLIMB_MIN,The vehicle will climb this many cm during the initial climb portion of the RTL,0 3000,10,,
RTL_LOIT_TIME,Time (in milliseconds) to loiter above home before beginning final descent,0 60000,1000,,
RTL_ALT_TYPE,RTL altitude type.  Set to 1 for Terrain following during RTL and then set WPNAV_RFND_USE=1 to use rangefinder or WPNAV_RFND_USE=0 to use Terrain database,,,0|1|,
FS_GCS_ENABLE,"Controls whether failsafe will be invoked (and what action to take) when connection with Ground station is lost for at least 5 seconds. See FS_OPTIONS param for additional actions, or for cases allowing Mission continuation, when GCS failsafe is enabled.",,,0|1|2|3|4|5|6|,
GPS_HDOP_GOOD,GPS Hdop value at or below this value represent a good position.  Used for pre-arm checks,100 900,,,
SUPER_SIMPLE,Bitmask to enable Super Simple mode for some flight modes. Setting this to Disabled(0) will disable Super Simple Mode. The bitmask is for flight mode switch positions,,,,
WP_YAW_BEHAVIOR,Determines how the autopilot controls the yaw during missions and RTL,,,0|1|2|3|,
LAND_SPEED,The descent speed for the final stage of landing in cm/s,30 200,10,,
LAND_SPEED_HIGH,The descent speed for the first stage of landing in cm/s. If this is zero then WPNAV_SPEED_DN is used,0 500,10,,
PILOT_SPEED_UP,The maximum vertical ascending velocity the pilot may request in cm/s,50 500,10,,
PILOT_ACCEL_Z,The vertical acceleration used when pilot is controlling the altitude,50 500,10,,
FS_THR_ENABLE,The throttle failsafe allows you to configure a software failsafe activated by a setting on the throttle input channel,,,0|1|2|3|4|5|6|,
FS_THR_VALUE,The PWM level in microseconds on channel 3 below which throttle failsafe triggers,910 1100,1,,
THR_DZ,"The deadzone above and below mid throttle in PWM microseconds. Used in AltHold, Loiter, PosHold flight modes",0 300,1,,
FLTMODE1,Flight mode when pwm of Flightmode channel(FLTMODE_CH) is <= 1230,,,0|1|2|3|4|5|6|7|9|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|,
FLTMODE2,"Flight mode when pwm of Flightmode channel(FLTMODE_CH) is >1230, <= 1360",,,0|1|2|3|4|5|6|7|9|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|,
FLTMODE3,"Flight mode when pwm of Flightmode channel(FLTMODE_CH) is >1360, <= 1490",,,0|1|2|3|4|5|6|7|9|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|,
FLTMODE4,"Flight mode when pwm of Flightmode channel(FLTMODE_CH) is >1490, <= 1620",,,0|1|2|3|4|5|6|7|9|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|,
FLTMODE5,"Flight mode when pwm of Flightmode channel(FLTMODE_CH) is >1620, <= 1749",,,0|1|2|3|4|5|6|7|9|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|,
FLTMODE6,Flight mode when pwm of Flightmode channel(FLTMODE_CH) is >=1750,,,0|1|2|3|4|5|6|7|9|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|,
FLTMODE_CH,RC Channel to use for flight mode control,,,0|5|6|7|8|9|10|11|12|13|14|15|,
INITIAL_MODE,This selects the mode to start in on boot. This is useful for when you want to start in AUTO mode on boot without a receiver.,,,0|1|2|3|4|5|6|7|9|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|,
SIMPLE,Bitmask which holds which flight modes use simple heading mode (eg bit 0 = 1 means Flight Mode 0 uses simple mode). The bitmask is for flightmode switch positions.,,,,
LOG_BITMASK,4 byte bitmap of log types to enable,,,,
ESC_CALIBRATION,Controls whether ArduCopter will enter ESC calibration on the next restart.  Do not adjust this parameter manually.,,,0|1|2|3|9|,
TUNE,Controls which parameters (normally PID gains) are being tuned with transmitter's channel 6 knob,,,0|1|4|5|21|3|6|26|56|55|14|7|34|35|36|12|22|28|10|25|40|45|13|38|39|46|47|48|49|50|51|52|53|54|58|,
FRAME_TYPE,Controls motor mixing for multicopters.  Not used for Tri or Traditional Helicopters.,,,0|1|2|3|4|5|10|11|12|13|14|15|18|19|,
DISARM_DELAY,Delay before automatic disarm in seconds. A value of zero disables auto disarm.,0 127,,,
ANGLE_MAX,Maximum lean angle in all flight modes,1000 8000,10,,
PHLD_BRAKE_RATE,PosHold flight mode's rotation rate during braking in deg/sec,4 12,,,
PHLD_BRAKE_ANGLE,PosHold flight mode's max lean angle during braking in centi-degrees,2000 4500,10,,
LAND_REPOSITION,"Enables user input during LAND mode, the landing phase of RTL, and auto mode landings.",,,0|1|,
FS_EKF_ACTION,Controls the action that will be taken when an EKF failsafe is invoked,,,1|2|3|,
FS_EKF_THRESH,Allows setting the maximum acceptable compass and velocity variance,,,0.6|0.8|1.0|,
FS_CRASH_CHECK,This enables automatic crash checking. When enabled the motors will disarm if a crash is detected.,,,0|1|,
RC_SPEED,This is the speed in Hertz that your ESCs will receive updates,50 490,1,,
ACRO_RP_P,Converts pilot roll and pitch into a desired rate of rotation in ACRO and SPORT mode.  Higher values mean faster rate of rotation.,1 10,,,
ACRO_YAW_P,Converts pilot yaw input into a desired rate of rotation.  Higher values mean faster rate of rotation.,1 10,,,
ACRO_BAL_ROLL,rate at which roll angle returns to level in acro and sport mode.  A higher value causes the vehicle to return to level faster. For helicopter sets the decay rate of the virtual flybar in the roll axis. A higher value causes faster decay of desired to actual attitude.,0 3,0.1,,
ACRO_BAL_PITCH,rate at which pitch angle returns to level in acro and sport mode.  A higher value causes the vehicle to return to level faster. For helicopter sets the decay rate of the virtual flybar in the pitch axis. A higher value causes faster decay of desired to actual attitude.,0 3,0.1,,
ACRO_TRAINER,Type of trainer used in acro mode,,,0|1|2|,
ACRO_RP_EXPO,Acro roll/pitch Expo to allow faster rotation when stick at edges,-0.5 0.95,,0|0.1|0.2|0.3|0.4|0.5|,
THROW_MOT_START,Used by Throw mode. Controls whether motors will run at the speed set by MOT_SPIN_MIN or will be stopped when armed and waiting for the throw.,,,0|1|,
WP_NAVALT_MIN,This is the altitude in meters above which for navigation can begin. This applies in auto takeoff and auto landing.,0 5,,,
THROW_NEXTMODE,Vehicle will switch to this mode after the throw is successfully completed.  Default is to stay in throw mode (18),,,3|4|5|6|9|17|18|,
THROW_TYPE,Used by Throw mode. Specifies whether Copter is thrown upward or dropped.,,,0|1|,
GND_EFFECT_COMP,Ground Effect Compensation Enable/Disable,,,0|1|,
DEV_OPTIONS,Bitmask of developer options. The meanings of the bit fields in this parameter may vary at any time. Developers should check the source code for current meaning,,,,
ACRO_Y_EXPO,Acro yaw expo to allow faster rotation when stick at edges,-1.0 0.95,,0|0.1|0.2|0.3|0.4|0.5|,
ACRO_THR_MID,Acro Throttle Mid,0 1,,,
SYSID_ENFORCE,This controls whether packets from other than the expected GCS system ID will be accepted,,,0|1|,
FRAME_CLASS,Controls major frame class for multicopter component,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|,
PILOT_SPEED_DN,The maximum vertical descending velocity the pilot may request in cm/s.  If 0 PILOT_SPEED_UP value is used.,0 500,10,,
LAND_ALT_LOW,Altitude during Landing at which vehicle slows to LAND_SPEED,100 10000,10,,
TUNE_MIN,Minimum value that the parameter currently being tuned with the transmitter's channel 6 knob will be set to,,,,
TUNE_MAX,Maximum value that the parameter currently being tuned with the transmitter's channel 6 knob will be set to,,,,
FS_VIBE_ENABLE,This enables the vibration failsafe which will use modified altitude estimation and control during high vibrations,,,0|1|,
FS_OPTIONS,"Bitmask of additional options for battery, radio, & GCS failsafes. 0 (default) disables all options.",,,0|1|2|3|4|8|16|19|,
ACRO_OPTIONS,A range of options that can be applied to change acro mode behaviour. Air-mode enables ATC_THR_MIX_MAN at all times (air-mode has no effect on helicopters). Rate Loop Only disables the use of angle stabilization and uses angular rate stabilization only.,,,,
AUTO_OPTIONS,A range of options that can be applied to change auto mode behaviour. Allow Arming allows the copter to be armed in Auto. Allow Takeoff Without Raising Throttle allows takeoff without the pilot having to raise the throttle. Ignore pilot yaw overrides the pilot's yaw stick being used while in auto.,,,,
GUID_OPTIONS,Options that can be applied to change guided mode behaviour,,,,
FS_GCS_TIMEOUT,Timeout before triggering the GCS failsafe,2 120,1,,
RTL_OPTIONS,Options that can be applied to change RTL mode behaviour,,,,
FLIGHT_OPTIONS,Flight mode specific options,,,,
RNGFND_FILT,Rangefinder filter to smooth distance.  Set to zero to disable filtering,0 5,0.05,,
GUID_TIMEOUT,"Guided mode timeout after which vehicle will stop or return to level if no updates are received from caller. Only applicable during any combination of velocity, acceleration, angle control, and/or angular rate control",0.1 5,,,
ACRO_RP_RATE,Acro mode maximum roll and pitch rate.  Higher values mean faster rate of rotation,1 1080,,,
ACRO_Y_RATE,Acro mode maximum yaw rate.  Higher value means faster rate of rotation,1 360,,,
PILOT_Y_RATE,Pilot controlled yaw rate max.  Used in all pilot controlled modes except Acro,1 360,,,
PILOT_Y_EXPO,Pilot controlled yaw expo to allow faster rotation when stick at edges,-0.5 1.0,,0|0.1|0.2|0.3|0.4|0.5|,
SURFTRAK_MODE,set which surface to track in surface tracking,,,0|1|2|,
ADSB_TYPE,Type of ADS-B hardware for ADSB-in and ADSB-out configuration and operation. If any type is selected then MAVLink based ADSB-in messages will always be enabled,,,0|1|2|3|,
ADSB_LIST_MAX,ADSB list size of nearest vehicles. Longer lists take longer to refresh with lower SRx_ADSB values.,1 100,,,
ADSB_LIST_RADIUS,ADSB vehicle list radius filter. Vehicles detected outside this radius will be completely ignored. They will not show up in the SRx_ADSB stream to the GCS and will not be considered in any avoidance calculations. A value of 0 will disable this filter.,0 100000,,,
ADSB_ICAO_ID,"ICAO_ID unique vehicle identification number of this aircraft. This is an integer limited to 24bits. If set to 0 then one will be randomly generated. If set to -1 then static information is not sent, transceiver is assumed pre-programmed.",-1 16777215,,,
ADSB_EMIT_TYPE,ADSB classification for the type of vehicle emitting the transponder signal. Default value is 14 (UAV).,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|,
ADSB_LEN_WIDTH,"Aircraft length and width dimension options in Length and Width in meters. In most cases, use a value of 1 for smallest size.",,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,
ADSB_OFFSET_LAT,GPS antenna lateral offset. This describes the physical location offest from center of the GPS antenna on the aircraft.,,,0|1|2|3|4|5|6|7|,
ADSB_OFFSET_LON,"GPS antenna longitudinal offset. This is usually set to 1, Applied By Sensor",,,0|1|,
ADSB_RF_SELECT,Transceiver RF selection for Rx enable and/or Tx enable. This only effects devices that can Tx and/or Rx. Rx-only devices should override this to always be Rx-only.,,,,
ADSB_SQUAWK,"VFR squawk (Mode 3/A) code is a pre-programmed default code when the pilot is flying VFR and not in contact with ATC. In the USA, the VFR squawk code is octal 1200 (hex 0x280, decimal 640) and in most parts of Europe the VFR squawk code is octal 7000. If an invalid octal number is set then it will be reset to 1200.",0 7777,,,
ADSB_RF_CAPABLE,Describes your hardware RF In/Out capabilities.,,,,
ADSB_LIST_ALT,ADSB vehicle list altitude filter. Vehicles detected above this altitude will be completely ignored. They will not show up in the SRx_ADSB stream to the GCS and will not be considered in any avoidance calculations. A value of 0 will disable this filter.,0 32767,,,
ADSB_ICAO_SPECL,ICAO_ID of special vehicle that ignores ADSB_LIST_RADIUS and ADSB_LIST_ALT. The vehicle is always tracked. Use 0 to disable.,,,,
ADSB_LOG,"0: no logging, 1: log only special ID, 2:log all",,,0|1|2|,
ADSB_OPTIONS,,,,,
AFS_ENABLE,This enables the advanced failsafe system. If this is set to zero (disable) then all the other AFS options have no effect,,,,
AFS_MAN_PIN,This sets a digital output pin to set high when in manual mode,,,,
AFS_HB_PIN,"This sets a digital output pin which is cycled at 10Hz when termination is not activated. Note that if a FS_TERM_PIN is set then the heartbeat pin will continue to cycle at 10Hz when termination is activated, to allow the termination board to distinguish between autopilot crash and termination.",,,-1|49|50|51|52|53|54|55|57|113|116|,
AFS_WP_COMMS,Waypoint number to navigate to on comms loss,,,,
AFS_WP_GPS_LOSS,Waypoint number to navigate to on GPS lock loss,,,,
AFS_TERMINATE,Can be set in flight to force termination of the heartbeat signal,,,,
AFS_TERM_ACTION,"This can be used to force an action on flight termination. Normally this is handled by an external failsafe board, but you can setup ArduPilot to handle it here. Please consult the wiki for more information on the possible values of the parameter",,,,
AFS_TERM_PIN,This sets a digital output pin to set high on flight termination,,,-1|49|50|51|52|53|54|55|57|113|116|,
AFS_AMSL_LIMIT,"This sets the AMSL (above mean sea level) altitude limit. If the pressure altitude determined by QNH exceeds this limit then flight termination will be forced. Note that this limit is in meters, whereas pressure altitude limits are often quoted in feet. A value of zero disables the pressure altitude limit.",,,,
