Name,Description,Range,Increment,Value,Read_only
FORMAT_VERSION,This value is incremented when changes are made to the eeprom format,,,,
SYSID_THISMAV,Allows setting an individual MAVLink system id for this vehicle to distinguish it from others on the same network,1 255,,,
SYSID_MYGCS,The identifier of the ground station in the MAVLink protocol. Don't change this unless you also modify the ground station to match.,1 255,,,
AUTOTUNE_LEVEL,"Level of aggressiveness of pitch and roll PID gains. Lower values result in a 'softer' tune. Level 6 recommended for most planes. A value of 0 means to keep the current values of RMAX and TCONST for the controllers, tuning only the PID values",0 10,1,,
TELEM_DELAY,The amount of time (in seconds) to delay radio telemetry to prevent an Xbee bricking on power up,0 30,1,,
GCS_PID_MASK,bitmask of PIDs to send MAVLink PID_TUNING messages for,,,,
KFF_RDDRMIX,Amount of rudder to add during aileron movement. Increase if nose initially yaws away from roll. Reduces adverse yaw.,0 1,0.01,,
KFF_THR2PTCH,Pitch up to add in proportion to throttle. 100% throttle will add this number of degrees to the pitch target.,0 5,0.01,,
STAB_PITCH_DOWN,Degrees of down pitch added when throttle is below TRIM_THROTTLE in FBWA and AUTOTUNE modes. Scales linearly so full value is added when THR_MIN is reached. Helps to keep airspeed higher in glides or landing approaches and prevents accidental stalls. 2 degrees recommended for most planes.,0 15,0.1,,
GLIDE_SLOPE_MIN,"This controls the minimum altitude change for a waypoint before a glide slope will be used instead of an immediate altitude change. The default value is 15 meters, which helps to smooth out waypoint missions where small altitude changes happen near waypoints. If you don't want glide slopes to be used in missions then you can set this to zero, which will disable glide slope calculations. Otherwise you can set it to a minimum number of meters of altitude error to the destination waypoint before a glide slope will be used to change altitude.",0 1000,1,,
GLIDE_SLOPE_THR,This controls the height above the glide slope the plane may be before rebuilding a glide slope. This is useful for smoothing out an autotakeoff,0 100,1,,
STICK_MIXING,"When enabled, this adds user stick input to the control surfaces in auto modes, allowing the user to have some degree of flight control without changing modes.  There are two types of stick mixing available. If you set STICK_MIXING to 1 then it will use ""fly by wire"" mixing, which controls the roll and pitch in the same way that the FBWA mode does. This is the safest option if you usually fly ArduPlane in FBWA or FBWB mode. If you set STICK_MIXING to 2 then it will enable direct mixing mode, which is what the STABILIZE mode uses. That will allow for much more extreme maneuvers while in AUTO mode. If you set STICK_MIXING to 3 then it will apply to the yaw while in quadplane modes only, such as while doing an automatic VTOL takeoff or landing.",,,0|1|2|3|,
TKOFF_THR_MINSPD,"Minimum GPS ground speed in m/s used by the speed check that un-suppresses throttle in auto-takeoff. This can be be used for catapult launches where you want the motor to engage only after the plane leaves the catapult, but it is preferable to use the TKOFF_THR_MINACC and TKOFF_THR_DELAY parameters for catapult launches due to the errors associated with GPS measurements. For hand launches with a pusher prop it is strongly advised that this parameter be set to a value no less than 4 m/s to provide additional protection against premature motor start. Note that the GPS velocity will lag the real velocity by about 0.5 seconds. The ground speed check is delayed by the TKOFF_THR_DELAY parameter.",0 30,0.1,,
TKOFF_THR_MINACC,"Minimum forward acceleration in m/s/s before arming the ground speed check in auto-takeoff. This is meant to be used for hand launches. Setting this value to 0 disables the acceleration test which means the ground speed check will always be armed which could allow GPS velocity jumps to start the engine. For hand launches and bungee launches this should be set to around 15. Also see TKOFF_ACCEL_CNT paramter for control of full ""shake to arm"".",0 30,0.1,,
