Name,Description,Range,Increment,Value,Read_only
FORMAT_VERSION,This value is incremented when changes are made to the eeprom format,,,,
LOG_BITMASK,"Bitmap of what log types to enable in on-board logger. This value is made up of the sum of each of the log types you want to be saved. On boards supporting microSD cards or other large block-storage devices it is usually best just to enable all log types by setting this to 65535. The individual bits are ATTITUDE_FAST=1, ATTITUDE_MEDIUM=2, GPS=4, PerformanceMonitoring=8, ControlTuning=16, NavigationTuning=32, Mode=64, IMU=128, Commands=256, Battery=512, Compass=1024, TECS=2048, Camera=4096, RCandServo=8192, Rangefinder=16384, Arming=32768, FullLogs=65535",,,,
RST_SWITCH_CH,RC channel to use to reset to last flight mode after geofence takeover.,,,,
INITIAL_MODE,This selects the mode to start in on boot. This is useful for when you want to start in AUTO mode on boot without a receiver. Usually used in combination with when AUTO_TRIGGER_PIN or AUTO_KICKSTART.,,,0|1|3|4|5|6|7|10|11|12|15|,
SYSID_THISMAV,Allows setting an individual MAVLink system id for this vehicle to distinguish it from others on the same network,1 255,,,
SYSID_MYGCS,The identifier of the ground station in the MAVLink protocol. Don't change this unless you also modify the ground station to match.,1 255,,,
TELEM_DELAY,The amount of time (in seconds) to delay radio telemetry to prevent an Xbee bricking on power up,0 30,1,,
GCS_PID_MASK,bitmask of PIDs to send MAVLink PID_TUNING messages for,,,0|1|2|4|8|16|32|64|128|,
AUTO_TRIGGER_PIN,"pin number to use to enable the throttle in auto mode. If set to -1 then don't use a trigger, otherwise this is a pin number which if held low in auto mode will enable the motor to run. If the switch is released while in AUTO then the motor will stop again. This can be used in combination with INITIAL_MODE to give a 'press button to start' rover with no receiver.",,,-1|0|1|2|3|4|5|6|7|8|50|51|52|53|54|55|,
AUTO_KICKSTART,"X acceleration in meters/second/second to use to trigger the motor start in auto mode. If set to zero then auto throttle starts immediately when the mode switch happens, otherwise the rover waits for the X acceleration to go above this value before it will start the motor",0 20,0.1,,
CRUISE_SPEED,The target speed in auto missions.,0 100,0.1,,
CRUISE_THROTTLE,"The base throttle percentage to use in auto mode. The CRUISE_SPEED parameter controls the target speed, but the rover starts with the CRUISE_THROTTLE setting as the initial estimate for how much throttle is needed to achieve that speed. It then adjusts the throttle based on how fast the rover is actually going.",0 100,1,,
PILOT_STEER_TYPE,Pilot RC input interpretation,,,0|1|2|3|,
FS_ACTION,What to do on a failsafe event,,,0|1|2|3|4|,
FS_TIMEOUT,The time in seconds that a failsafe condition must persist before the failsafe action is triggered,1 100,0.5,,
FS_THR_ENABLE,The throttle failsafe allows you to configure a software failsafe activated by a setting on the throttle input channel to a low value. This can be used to detect the RC transmitter going out of range. Failsafe will be triggered when the throttle channel goes below the FS_THR_VALUE for FS_TIMEOUT seconds.,,,0|1|2|,
FS_THR_VALUE,The PWM level on the throttle channel below which throttle failsafe triggers.,910 1100,1,,
FS_GCS_ENABLE,Enable ground control station telemetry failsafe. When enabled the Rover will execute the FS_ACTION when it fails to receive MAVLink heartbeat packets for FS_TIMEOUT seconds.,,,0|1|2|,
FS_CRASH_CHECK,What to do on a crash event. When enabled the rover will go to hold if a crash is detected.,,,0|1|2|,
FS_EKF_ACTION,Controls the action that will be taken when an EKF failsafe is invoked,,,0|1|2|,
FS_EKF_THRESH,Allows setting the maximum acceptable compass and velocity variance,,,0.6|0.8|1.0|,
MODE_CH,RC Channel to use for driving mode control,,,,
MODE1,Driving mode for switch position 1 (910 to 1230 and above 2049),,,0|1|3|4|5|6|7|10|11|12|15|,
MODE2,Driving mode for switch position 2 (1231 to 1360),,,0|1|3|4|5|6|7|10|11|12|15|,
MODE3,Driving mode for switch position 3 (1361 to 1490),,,0|1|3|4|5|6|7|10|11|12|15|,
