Name,Description,Range,Default
ctl_bw,"Speed controller bandwidth, in Hz. Higher values result in faster speed and current rise times, but may result in overshoot and higher current consumption. For fixed-wing aircraft, this value should be less than 50 Hz; for multirotors, values up to 100 Hz may provide improvements in responsiveness.",10 250,75
ctl_dir,Motor spin direction as detected during initial enumeration. Use 0 or 1 to reverse direction.,0 1,1
ctl_gain,"Speed (RPM) controller gain. Determines controller
            aggressiveness; units are amp-seconds per radian. Systems with
            higher rotational inertia (large props) will need gain increased;
            systems with low rotational inertia (small props) may need gain
            decreased. Higher values result in faster response, but may result
            in oscillation and excessive overshoot. Lower values result in a
            slower, smoother response.",0.00 1.00,1
ctl_hz_idle,Idle speed (e Hz),0.0 100.0,3.5
ctl_start_rate,Spin-up rate (e Hz/s),5 1000,25
esc_index,Index of this ESC in throttle command messages.,0 15,0
id_ext_status,Extended status ID,1 1000000,20034
int_ext_status,Extended status interval (µs),0 1000000,50000
int_status,ESC status interval (µs),max:1000000,50000
mot_i_max,"Motor current limit in amps. This determines the maximum
            current controller setpoint, as well as the maximum allowable
            current setpoint slew rate. This value should generally be set to
            the continuous current rating listed in the motor’s specification
            sheet, or set equal to the motor’s specified continuous power
            divided by the motor voltage limit.",1 80,12
mot_kv,"Motor Kv in RPM per volt. This can be taken from the motor’s
            specification sheet; accuracy will help control performance but
            some deviation from the specified value is acceptable.",0 4000,2300
mot_ls,READ ONLY: Motor inductance in henries. This is measured on start-up.,,0.0
mot_num_poles,"Number of motor poles. Used to convert mechanical speeds to
            electrical speeds. This number should be taken from the motor’s
            specification sheet.",2 40,14
mot_rs,"READ ONLY: Motor resistance in ohms. This is measured on start-up. When
            tuning a new motor, check that this value is approximately equal
            to the value shown in the motor’s specification sheet.",,0.0
mot_v_accel,Acceleration limit (V),0.01 1.00,0.5
mot_v_max,"Motor voltage limit in volts. The current controller’s
            commanded voltage will never exceed this value. Note that this may
            safely be above the nominal voltage of the motor; to determine the
            actual motor voltage limit, divide the motor’s rated power by the
            motor current limit.",min:0,14.8
gnss.dyn_model,"Dynamic model used in the GNSS positioning engine. 0 –
        Automotive, 1 – Sea, 2 – Airborne.
      ",0 2,2
gnss.old_fix_msg,"Broadcast the old (deprecated) GNSS fix message
        uavcan.equipment.gnss.Fix alongside the new alternative
        uavcan.equipment.gnss.Fix2. It is recommended to
        disable this feature to reduce the CAN bus traffic.
      ",0 1,1
gnss.warn_dimens,"Set the device health to Warning if the dimensionality of
              the GNSS solution is less than this value. 3 for the full (3D)
              solution, 2 for planar (2D) solution, 1 for time-only solution,
              0 disables the feature.
      ",0 3,0
gnss.warn_sats,"Set the device health to Warning if the number of satellites
        used in the GNSS solution is below this threshold. Zero
        disables the feature
      ",,0
uavcan.pubp-pres,"Set the device health to Warning if the number of satellites
        used in the GNSS solution is below this threshold. Zero
        disables the feature
      ",0 1000000,0
PWM_MAIN_FUNC1,Select what should be output on SIM Channel 1. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC10,Select what should be output on SIM Channel 10. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC11,Select what should be output on SIM Channel 11. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC12,Select what should be output on SIM Channel 12. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
